City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
giyani,-23.3025,30.7187,70.27,83,63,6.58,ZA,1640475213
salmon creek,45.7107,-122.649,39.97,90,90,1.99,US,1640475214
cabo san lucas,22.8909,-109.9124,82.51,58,1,4.0,MX,1640474637
clyde river,70.4692,-68.5914,-0.17,78,100,19.57,CA,1640475216
yeppoon,-23.1333,150.7333,76.78,75,100,4.56,AU,1640475216
kidal,18.4411,1.4078,66.45,17,100,7.14,ML,1640475217
edd,13.9297,41.6925,76.15,65,0,5.7,ER,1640475218
siguiri,11.6667,-9.5,75.22,19,98,4.07,GN,1640475219
mesimerion,40.412,23.0059,48.25,85,100,2.26,GR,1640475220
komsomolskiy,40.4272,71.7189,35.02,80,100,4.61,UZ,1640475222
puri,19.8,85.85,71.38,73,0,2.33,IN,1640475222
baykit,61.67,96.37,-1.88,97,100,0.72,RU,1640475223
havre-saint-pierre,50.2334,-63.5986,32.0,80,40,14.97,CA,1640475224
gobabis,-22.45,18.9667,73.45,36,15,7.16,NA,1640475225
itoman,26.1247,127.6694,59.02,72,75,20.71,JP,1640475226
cedar city,37.6775,-113.0619,41.97,64,1,23.02,US,1640475227
homer,59.6425,-151.5483,35.04,87,75,3.44,US,1640475043
wete,-5.0559,39.7294,77.49,87,36,5.64,TZ,1640475228
hamilton,39.1834,-84.5333,58.71,91,75,1.99,US,1640475100
djambala,-2.5447,14.7533,68.88,87,85,1.81,CG,1640475229
le port,-20.9373,55.2919,78.8,85,97,1.92,RE,1640475230
karratha,-20.7377,116.8463,87.71,41,70,16.24,AU,1640475231
coari,-4.085,-63.1414,76.01,96,98,2.57,BR,1640475232
bykivka,50.2929,27.9831,20.61,87,77,6.31,UA,1640475233
poddorye,57.4695,31.1156,22.57,87,100,14.5,RU,1640475234
lasa,46.6166,10.7002,40.46,81,100,2.3,IT,1640475235
ahipara,-35.1667,173.1667,76.03,60,80,2.44,NZ,1640475235
pocone,-16.2567,-56.6228,76.03,89,65,3.89,BR,1640475236
pokhara,28.2333,83.9833,50.22,53,70,5.23,NP,1640475237
tahe,52.3333,124.7333,-14.35,88,60,4.52,CN,1640475238
srednekolymsk,67.45,153.6833,-29.74,98,100,6.82,RU,1640475238
talnakh,69.4865,88.3972,4.21,96,100,7.72,RU,1640475239
marawi,7.9986,124.2928,66.65,88,99,1.54,PH,1640475240
denpasar,-8.65,115.2167,83.86,79,40,10.36,ID,1640475238
hualmay,-11.0964,-77.6139,68.76,84,50,7.45,PE,1640475241
port hueneme,34.1478,-119.1951,56.95,76,90,10.36,US,1640475242
mayo,38.8876,-76.5119,68.04,69,53,1.99,US,1640475244
kavaratti,10.5669,72.642,81.1,68,47,10.31,IN,1640475245
yar-sale,66.8333,70.8333,-7.56,94,93,13.53,RU,1640475245
luderitz,-26.6481,15.1594,61.05,85,0,6.08,NA,1640475246
montrose,38.4166,-108.2673,35.17,78,37,10.2,US,1640475247
ucluelet,48.9329,-125.5528,32.09,85,100,5.44,CA,1640475248
arlit,18.7369,7.3853,67.55,18,100,6.29,NE,1640475249
belmopan,17.25,-88.7667,82.78,96,48,2.77,BZ,1640475175
alofi,-19.0595,-169.9187,80.49,69,9,9.22,NU,1640475250
coquimbo,-29.9533,-71.3436,62.33,82,20,11.5,CL,1640475086
port macquarie,-31.4333,152.9167,81.9,66,4,5.39,AU,1640475252
picota,-6.9197,-76.3304,90.09,74,43,3.15,PE,1640475313
puerto escondido,15.85,-97.0667,83.23,61,1,5.75,MX,1640475314
port dickson,2.5228,101.7959,77.22,84,63,3.67,MY,1640475314
kodiak,57.79,-152.4072,38.71,81,1,3.44,US,1640475236
